site,sample,trmt,water,conn_water_rela,conn_air_rela,unconn_water_rela,unconn_air_rela
tool,40_50_16,before,low,0.457991291,0.448234967,0.080561475,0.013212267
tool,40_50_16,after,low,0.352986462,0.465109373,0.132699858,0.049204307
tool,41_50_28,before,high,0.54168363,0.252340888,0.170477677,0.035497806
tool,41_50_28,after,high,0.176958171,0.294312946,0.334515313,0.194213569
tool,40_50_28,before,high,0.288689335,0.401755625,0.172031077,0.137523963
tool,40_50_28,after,high,0.320737902,0.345891632,0.178214954,0.155155512
tool,28_38_28,before,high,0.695608907,0.128069231,0.116090844,0.060231017
tool,28_38_28,after,high,0.302061631,0.661914371,0.02591219,0.010111808
tool,28_38_12,before,low,0.310812306,0.632113117,0.045605081,0.011469497
tool,28_38_12,after,low,0.231823559,0.696738212,0.043983438,0.027454791
tool,41_50_16,before,low,0.682940403,0.181611445,0.132147346,0.003300805
tool,41_50_16,after,low,0.130918318,0.216919505,0.271473303,0.380688873
