site,trmt,sample,pore_coor,count,freq
tool,after,28_38_12,1,17,0.354166667
tool,after,28_38_12,2,15,0.3125
tool,after,28_38_12,3,4,0.083333333
tool,after,28_38_12,4,4,0.083333333
tool,after,28_38_12,5,0,0
tool,after,28_38_12,6,4,0.083333333
tool,after,28_38_12,7,3,0.0625
tool,after,28_38_12,8,1,0.020833333
tool,after,28_38_12,9,0,0
tool,after,28_38_12,10,0,0
tool,after,28_38_12,11,0,0
tool,after,28_38_12,12,0,0
tool,after,28_38_12,13,0,0
tool,after,28_38_12,14,0,0
tool,after,28_38_12,15,0,0
tool,after,28_38_12,16,0,0
tool,after,28_38_28,1,13,0.203125
tool,after,28_38_28,2,13,0.203125
tool,after,28_38_28,3,9,0.140625
tool,after,28_38_28,4,7,0.109375
tool,after,28_38_28,5,9,0.140625
tool,after,28_38_28,6,6,0.09375
tool,after,28_38_28,7,2,0.03125
tool,after,28_38_28,8,1,0.015625
tool,after,28_38_28,9,1,0.015625
tool,after,28_38_28,10,2,0.03125
tool,after,28_38_28,11,0,0
tool,after,28_38_28,12,0,0
tool,after,28_38_28,13,0,0
tool,after,28_38_28,14,0,0
tool,after,28_38_28,15,0,0
tool,after,28_38_28,16,1,0.015625
tool,after,40_50_16,1,9,0.264705882
tool,after,40_50_16,2,6,0.176470588
tool,after,40_50_16,3,7,0.205882353
tool,after,40_50_16,4,7,0.205882353
tool,after,40_50_16,5,2,0.058823529
tool,after,40_50_16,6,1,0.029411765
tool,after,40_50_16,7,1,0.029411765
tool,after,40_50_16,8,0,0
tool,after,40_50_16,9,1,0.029411765
tool,after,40_50_16,10,0,0
tool,after,40_50_16,11,0,0
tool,after,40_50_16,12,0,0
tool,after,40_50_16,13,0,0
tool,after,40_50_16,14,0,0
tool,after,40_50_16,15,0,0
tool,after,40_50_16,16,0,0
tool,after,40_50_28,1,3,0.428571429
tool,after,40_50_28,2,0,0
tool,after,40_50_28,3,3,0.428571429
tool,after,40_50_28,4,1,0.142857143
tool,after,40_50_28,5,0,0
tool,after,40_50_28,6,0,0
tool,after,40_50_28,7,0,0
tool,after,40_50_28,8,0,0
tool,after,40_50_28,9,0,0
tool,after,40_50_28,10,0,0
tool,after,40_50_28,11,0,0
tool,after,40_50_28,12,0,0
tool,after,40_50_28,13,0,0
tool,after,40_50_28,14,0,0
tool,after,40_50_28,15,0,0
tool,after,40_50_28,16,0,0
tool,after,41_50_16,1,11,0.407407407
tool,after,41_50_16,2,8,0.296296296
tool,after,41_50_16,3,2,0.074074074
tool,after,41_50_16,4,3,0.111111111
tool,after,41_50_16,5,3,0.111111111
tool,after,41_50_16,6,0,0
tool,after,41_50_16,7,0,0
tool,after,41_50_16,8,0,0
tool,after,41_50_16,9,0,0
tool,after,41_50_16,10,0,0
tool,after,41_50_16,11,0,0
tool,after,41_50_16,12,0,0
tool,after,41_50_16,13,0,0
tool,after,41_50_16,14,0,0
tool,after,41_50_16,15,0,0
tool,after,41_50_16,16,0,0
tool,after,41_50_28,1,5,0.555555556
tool,after,41_50_28,2,2,0.222222222
tool,after,41_50_28,3,1,0.111111111
tool,after,41_50_28,4,1,0.111111111
tool,after,41_50_28,5,0,0
tool,after,41_50_28,6,0,0
tool,after,41_50_28,7,0,0
tool,after,41_50_28,8,0,0
tool,after,41_50_28,9,0,0
tool,after,41_50_28,10,0,0
tool,after,41_50_28,11,0,0
tool,after,41_50_28,12,0,0
tool,after,41_50_28,13,0,0
tool,after,41_50_28,14,0,0
tool,after,41_50_28,15,0,0
tool,after,41_50_28,16,0,0
tool,before,28_38_12,1,12,0.244897959
tool,before,28_38_12,2,12,0.244897959
tool,before,28_38_12,3,11,0.224489796
tool,before,28_38_12,4,4,0.081632653
tool,before,28_38_12,5,4,0.081632653
tool,before,28_38_12,6,1,0.020408163
tool,before,28_38_12,7,2,0.040816327
tool,before,28_38_12,8,1,0.020408163
tool,before,28_38_12,9,1,0.020408163
tool,before,28_38_12,10,1,0.020408163
tool,before,28_38_12,11,0,0
tool,before,28_38_12,12,0,0
tool,before,28_38_12,13,0,0
tool,before,28_38_12,14,0,0
tool,before,28_38_12,15,0,0
tool,before,28_38_12,16,0,0
tool,before,28_38_28,1,8,0.173913043
tool,before,28_38_28,2,7,0.152173913
tool,before,28_38_28,3,10,0.217391304
tool,before,28_38_28,4,7,0.152173913
tool,before,28_38_28,5,6,0.130434783
tool,before,28_38_28,6,2,0.043478261
tool,before,28_38_28,7,1,0.02173913
tool,before,28_38_28,8,0,0
tool,before,28_38_28,9,1,0.02173913
tool,before,28_38_28,10,2,0.043478261
tool,before,28_38_28,11,0,0
tool,before,28_38_28,12,1,0.02173913
tool,before,28_38_28,13,0,0
tool,before,28_38_28,14,1,0.02173913
tool,before,28_38_28,15,0,0
tool,before,28_38_28,16,0,0
tool,before,40_50_16,1,12,0.203389831
tool,before,40_50_16,2,14,0.237288136
tool,before,40_50_16,3,13,0.220338983
tool,before,40_50_16,4,9,0.152542373
tool,before,40_50_16,5,4,0.06779661
tool,before,40_50_16,6,3,0.050847458
tool,before,40_50_16,7,2,0.033898305
tool,before,40_50_16,8,1,0.016949153
tool,before,40_50_16,9,0,0
tool,before,40_50_16,10,0,0
tool,before,40_50_16,11,0,0
tool,before,40_50_16,12,0,0
tool,before,40_50_16,13,1,0.016949153
tool,before,40_50_16,14,0,0
tool,before,40_50_16,15,0,0
tool,before,40_50_16,16,0,0
tool,before,40_50_28,1,3,0.5
tool,before,40_50_28,2,0,0
tool,before,40_50_28,3,3,0.5
tool,before,40_50_28,4,0,0
tool,before,40_50_28,5,0,0
tool,before,40_50_28,6,0,0
tool,before,40_50_28,7,0,0
tool,before,40_50_28,8,0,0
tool,before,40_50_28,9,0,0
tool,before,40_50_28,10,0,0
tool,before,40_50_28,11,0,0
tool,before,40_50_28,12,0,0
tool,before,40_50_28,13,0,0
tool,before,40_50_28,14,0,0
tool,before,40_50_28,15,0,0
tool,before,40_50_28,16,0,0
tool,before,41_50_16,1,22,0.224489796
tool,before,41_50_16,2,23,0.234693878
tool,before,41_50_16,3,11,0.112244898
tool,before,41_50_16,4,15,0.153061224
tool,before,41_50_16,5,7,0.071428571
tool,before,41_50_16,6,6,0.06122449
tool,before,41_50_16,7,2,0.020408163
tool,before,41_50_16,8,4,0.040816327
tool,before,41_50_16,9,2,0.020408163
tool,before,41_50_16,10,3,0.030612245
tool,before,41_50_16,11,0,0
tool,before,41_50_16,12,3,0.030612245
tool,before,41_50_16,13,0,0
tool,before,41_50_16,14,0,0
tool,before,41_50_16,15,0,0
tool,before,41_50_16,16,0,0
tool,before,41_50_28,1,15,0.245901639
tool,before,41_50_28,2,10,0.163934426
tool,before,41_50_28,3,7,0.114754098
tool,before,41_50_28,4,15,0.245901639
tool,before,41_50_28,5,5,0.081967213
tool,before,41_50_28,6,5,0.081967213
tool,before,41_50_28,7,0,0
tool,before,41_50_28,8,1,0.016393443
tool,before,41_50_28,9,3,0.049180328
tool,before,41_50_28,10,0,0
tool,before,41_50_28,11,0,0
tool,before,41_50_28,12,0,0
tool,before,41_50_28,13,0,0
tool,before,41_50_28,14,0,0
tool,before,41_50_28,15,0,0
tool,before,41_50_28,16,0,0
