EqRadius [µm],,,,,,,,,,
544.2402954,0.544240295,25,,Bin,Frequency,,,,,
506.034729,0.506034729,130,,5,0,0,0,,5,0
453.9240417,0.453924042,10,,10,0,0,0,,10,0
342.6719666,0.342671967,105,,15,0,0,0,,15,0
340.4333496,0.34043335,170,,20,2,0.021978022,0.024096386,,20,0
315.9660034,0.315966003,90,,25,1,0.010989011,0.012048193,,25,0.076923077
313.0708313,0.313070831,100,,30,3,0.032967033,0.036144578,,30,0.094017094
285.5026245,0.285502625,95,,35,1,0.010989011,0.012048193,,35,0.106837607
259.0193176,0.259019318,185,,40,2,0.021978022,0.024096386,,40,0.081196581
253.3679199,0.25336792,155,,45,3,0.032967033,0.036144578,,45,0.076923077
252.966568,0.252966568,35,,50,0,0,0,,50,0.072649573
251.2349854,0.251234985,5,,55,3,0.032967033,0.036144578,,55,0.05982906
228.4712982,0.228471298,45,,60,1,0.010989011,0.012048193,,60,0.064102564
226.7696533,0.226769653,,,65,3,0.032967033,0.036144578,,65,0.047008547
224.6260986,0.224626099,110,,70,1,0.010989011,0.012048193,,70,0.05982906
222.5156097,0.22251561,245,,75,3,0.032967033,0.036144578,,75,0.047008547
221.8868713,0.221886871,200,,80,3,0.032967033,0.036144578,,80,0.038461538
217.9934387,0.217993439,30,,85,4,0.043956044,0.048192771,,85,0.017094017
216.9018402,0.21690184,195,,90,2,0.021978022,0.024096386,,90,0.017094017
216.3706665,0.216370667,205,,95,4,0.043956044,0.048192771,,95,0.017094017
211.0631104,0.21106311,,,100,2,0.021978022,0.024096386,,100,0.017094017
208.8790283,0.208879028,210,,105,2,0.021978022,0.024096386,,105,0.012820513
202.8318634,0.202831863,,,110,4,0.043956044,0.048192771,,110,0.017094017
199.1929932,0.199192993,85,,115,3,0.032967033,0.036144578,,115,0.012820513
181.7171326,0.181717133,215,,120,3,0.032967033,0.036144578,,120,0.012820513
177.2799072,0.177279907,140,,125,1,0.010989011,0.012048193,,125,0.004273504
173.4193268,0.173419327,50,,130,1,0.010989011,0.012048193,,130,0.017094017
164.2373657,0.164237366,,,135,1,0.010989011,0.012048193,,135,0.004273504
164.2045135,0.164204514,,,140,0,0,0,,140,0.008547009
163.0171661,0.163017166,260,,145,0,0,0,,145,0.004273504
162.2400665,0.162240067,165,,150,3,0.032967033,0.036144578,,150,0.004273504
156.2561646,0.156256165,235,,155,3,0.032967033,0.036144578,,155,0.008547009
152.0934753,0.152093475,,,160,1,0.010989011,0.012048193,,160,0
150.8919525,0.150891953,240,,165,4,0.043956044,0.048192771,,5,0
150.3328552,0.150332855,115,,170,0,0,0,,10,0
147.4460754,0.147446075,40,,175,1,0.010989011,0.012048193,,15,0
147.1901245,0.147190125,175,,180,1,0.010989011,0.012048193,,20,0.008928571
146.2838745,0.146283875,,,185,1,0.010989011,0.012048193,,25,0.098214286
133.9715118,0.133971512,180,,190,0,0,0,,30,0.080357143
125.3869858,0.125386986,,,195,0,0,0,,35,0.098214286
121.0939255,0.121093926,,,200,1,0.010989011,0.012048193,,40,0.089285714
119.2868042,0.119286804,120,,205,1,0.010989011,0.012048193,,45,0.0625
115.4824524,0.115482452,,,210,1,0.010989011,0.012048193,,50,0.053571429
115.2799988,0.115279999,230,,215,1,0.010989011,0.012048193,,55,0.080357143
113.8456497,0.11384565,,,220,3,0.032967033,0.036144578,,60,0.035714286
113.7297287,0.113729729,,,225,3,0.032967033,0.036144578,,65,0.044642857
113.403244,0.113403244,,,230,2,0.021978022,0.024096386,,70,0.071428571
109.8426361,0.109842636,,,235,0,0,0,,75,0.026785714
108.5344086,0.108534409,,,240,0,0,0,,80,0.035714286
108.3466873,0.108346687,60,,245,0,0,0,,85,0.008928571
105.6828995,0.1056829,145,,250,0,0,0,,90,0.026785714
104.7455368,0.104745537,,,255,3,0.032967033,0.036144578,,95,0.026785714
100.7840424,0.100784042,,,260,1,0.010989011,0.012048193,,100,0.035714286
98.45623016,0.09845623,,,265,8,0.087912088,0.096385542,,105,0.008928571
96.07963562,0.096079636,,,,91,,1.096385542,,110,0.017857143
94.46528625,0.094465286,225,,,83,,,,115,0.017857143
94.29605103,0.094296051,,,,,,,,120,0.017857143
92.64990234,0.092649902,,,,,,,,125,0.008928571
91.77160645,0.091771606,,,,,,,,130,0
86.13433075,0.086134331,190,,,,,,,135,0
85.76834869,0.085768349,,,,,,,,140,0.008928571
84.92136383,0.084921364,15,,,,,,,145,0.008928571
84.87859344,0.084878593,70,,,,,,,150,0
82.93881989,0.08293882,,,,,,,,155,0.026785714
81.58895111,0.081588951,,,,,,,,160,0
78.03651428,0.078036514,65,,,,,,,,
77.30471039,0.07730471,,,,,,,,,
75.71673584,0.075716736,220,,,,,,,,
73.43232727,0.073432327,,,,,,,,,
73.27786255,0.073277863,0,,,,,,,,
71.03013611,0.071030136,55,,,,,,,,
68.85666656,0.068856667,,,,,,,,,
61.85785675,0.061857857,,,,,,,,,
61.46809387,0.061468094,,,,,,,,,
61.17314529,0.061173145,,,,,,,,,
57.85351944,0.057853519,255,,,,,,,,
52.3846817,0.052384682,,,,,,,,,
52.19610977,0.05219611,125,,,,,,,,
50.24456406,0.050244564,20,,,,,,,,
44.06936646,0.044069366,,,,,,,,,
41.10194778,0.041101948,250,,,,,,,,
40.75014877,0.040750149,,,,,,,,,
39.26665497,0.039266655,160,,,,,,,,
36.86445236,0.036864452,75,,,,,,,,
32.54823303,0.032548233,,,,,,,,,
28.52758217,0.028527582,,,,,,,,,
26.40494156,0.026404942,,,,,,,,,
26.34793472,0.026347935,80,,,,,,,,
21.06351852,0.021063519,150,,,,,,,,
18.75711441,0.018757114,135,,,,,,,,
16.84027481,0.016840275,,,,,,,,,
